id,commits,exceptionsCount,gitUrl,javaLoc,numberOfProductionFiles,numberOfTestFiles,productionLoc,testLoc,refactoring,Refactorings_Count
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Change Attribute Type,849
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Change Package,201
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Change Parameter Type,1116
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Change Return Type,894
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Change Variable Type,662
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Extract And Move Method,99
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Extract Attribute,21
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Extract Class,77
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Extract Interface,15
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Extract Method,489
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Extract Subclass,4
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Extract Superclass,34
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Extract Variable,150
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Inline Method,68
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Inline Variable,28
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Merge Parameter,10
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Merge Variable,6
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Move And Inline Method,15
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Move And Rename Attribute,3
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Move And Rename Class,55
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Move And Rename Method,40
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Move Attribute,322
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Move Class,447
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Move Method,168
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Move Source Folder,747
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Parameterize Variable,30
18,2497,2,https://github.com/bumptech/glide,75022,400,268,35062,39960,Pull Up Attribute,25
