id,commits,exceptionsCount,javaLoc,numberOfProductionFiles,numberOfTestFiles,productionLoc,testLoc,Change Attribute Type Count,Change Package Count,Change Parameter Type Count,Change Return Type Count,Change Variable Type Count,Extract And Move Method Count,Extract Attribute Count,Extract Class Count,Extract Interface Count,Extract Method Count,Extract Subclass Count,Extract Superclass Count,Extract Variable Count,Inline Method Count,Inline Variable Count,Merge Parameter Count,Merge Variable Count,Move And Inline Method Count,Move And Rename Attribute Count,Move And Rename Class Count,Move And Rename Method Count,Move Attribute Count,Move Class Count,Move Method Count,Move Source Folder Count,Parameterize Variable Count,Pull Up Attribute Count,Pull Up Method Count,Push Down Attribute Count,Push Down Method Count,Rename Attribute Count,Rename Class Count,Rename Method Count,Rename Parameter Count,Rename Variable Count,Replace Variable With Attribute Count,Split Parameter Count,Split Variable Count,Replace Attribute Count,Cluster
18,2497,2,75022,400,268,35062,39960,849,201,1116,894,662,99,21,77,15,489,4,34,150,68,28,10,6,15,3,55,40,322,447,168,747,30,25,65,13,23,317,152,559,586,247,42,4,0,0,4
21,3531,0,43674,350,149,35356,8318,225,0,513,191,558,90,12,30,1,165,1,18,228,30,60,1,0,3,1,7,10,124,44,105,404,21,40,59,1,6,244,32,193,152,246,14,4,1,0,4
22,9867,4,287166,1844,760,183196,103970,1322,354,3374,2385,2044,368,50,132,90,1526,39,412,686,298,241,20,12,143,0,120,173,492,1563,578,1463,93,326,839,94,325,424,467,1692,1390,840,76,15,2,3,0
26,6109,6,305130,1077,2995,165511,139619,410,145,861,422,690,345,72,35,134,551,8,127,545,72,51,0,2,31,3,78,39,96,1167,255,11,31,237,779,16,32,259,123,582,362,315,19,0,0,3,0
29,4312,5,169117,1285,959,89541,79576,287,1466,431,543,801,86,28,28,22,375,6,88,216,66,56,5,3,10,3,86,57,164,1950,197,2177,21,63,138,6,19,241,136,578,299,488,14,2,2,0,9
31,2481,0,91131,808,223,60246,30885,233,28,399,168,244,17,3,28,13,283,17,23,105,24,23,4,5,28,0,8,23,90,93,102,229,15,71,110,58,128,182,39,249,268,93,30,1,2,0,4
38,2368,0,49204,537,168,30278,18926,126,57,158,149,152,16,15,43,0,88,3,37,59,9,6,1,0,2,0,21,16,111,406,105,21,13,17,49,10,35,79,61,236,100,142,11,1,0,0,4
44,2803,36,82121,544,536,37338,44783,433,342,969,576,615,83,4,64,12,385,17,72,155,94,64,6,10,16,0,56,90,215,695,428,260,31,78,105,55,109,226,167,568,629,534,11,3,2,1,4
46,7864,7,158751,716,265,114377,44374,1209,428,1971,970,1223,345,43,135,62,1158,18,85,471,312,155,24,10,95,5,104,127,913,719,593,717,111,197,503,151,217,1527,259,1678,1993,1380,79,2,4,1,9
47,14149,12,279359,1992,374,244940,34419,1209,278,1710,1052,882,282,43,62,53,776,13,65,455,127,130,18,6,58,0,79,56,416,1119,488,917,33,210,357,76,96,509,153,890,1024,601,74,4,0,2,0
