Change Attribute Type,Change Package,Change Parameter Type,Change Return Type,Change Variable Type,Extract And Move Method,Extract Attribute,Extract Class,Extract Interface,Extract Method,Extract Subclass,Extract Superclass,Extract Variable,Inline Method,Inline Variable,Merge Parameter,Merge Variable,Move And Inline Method,Move And Rename Attribute,Move And Rename Class,Move And Rename Method,Move Attribute,Move Class,Move Method,Move Source Folder,Parameterize Variable,Pull Up Attribute,Pull Up Method,Push Down Attribute,Push Down Method,Rename Attribute,Rename Class,Rename Method,Rename Parameter,Rename Variable,Replace Attribute,Replace Variable With Attribute,Split Parameter,Split Variable,Commit Count,Refactoring Type
987432.0,16715.0,516245.0,418345.0,376829.0,55646.0,13406.0,60704.0,26605.0,151060.0,11493.0,37625.0,95959.0,48407.0,35051.0,8984.0,5423.0,22094.0,1910.0,76049.0,41012.0,105868.0,100960.0,99923.0,7314.0,19508.0,24357.0,31981.0,13480.0,17881.0,359998.0,184241.0,245511.0,296770.0,217984.0,1818.0,30750.0,2552.0,1085.0,987432,Change Attribute Type
16715.0,75337.0,16845.0,15521.0,15353.0,1854.0,740.0,3823.0,1566.0,5329.0,612.0,2556.0,3525.0,2160.0,1420.0,367.0,175.0,630.0,72.0,18214.0,1610.0,4420.0,75337.0,5353.0,4089.0,753.0,1242.0,1621.0,598.0,882.0,10943.0,6709.0,11212.0,11546.0,9049.0,78.0,1185.0,161.0,65.0,75337,Change Package
516245.0,16845.0,943449.0,420781.0,392426.0,54796.0,12134.0,56090.0,26881.0,150002.0,12057.0,42569.0,93678.0,48866.0,35633.0,11493.0,6406.0,22544.0,1729.0,70868.0,47028.0,94663.0,100119.0,106891.0,7768.0,26115.0,27926.0,39372.0,14091.0,20148.0,249350.0,164779.0,269174.0,457451.0,222012.0,1751.0,26363.0,3234.0,1133.0,943449,Change Parameter Type
418345.0,15521.0,420781.0,923337.0,396347.0,53078.0,12062.0,49909.0,23209.0,150996.0,11187.0,38884.0,95897.0,49440.0,35528.0,8110.0,5352.0,21879.0,1468.0,65829.0,49111.0,82041.0,90137.0,95859.0,6945.0,21817.0,25382.0,36399.0,12775.0,18697.0,187732.0,155983.0,295991.0,251931.0,220264.0,1491.0,24783.0,2499.0,1023.0,923337,Change Return Type
376829.0,15353.0,392426.0,396347.0,943917.0,54498.0,13742.0,44726.0,20896.0,172380.0,9939.0,33037.0,107619.0,51144.0,43179.0,8234.0,7206.0,20442.0,1457.0,63554.0,35546.0,75813.0,85625.0,82464.0,6771.0,35098.0,21920.0,29486.0,11747.0,16029.0,186674.0,157065.0,222678.0,241978.0,426709.0,1549.0,47618.0,2495.0,1322.0,943917,Change Variable Type
55646.0,1854.0,54796.0,53078.0,54498.0,248000.0,4713.0,12258.0,4955.0,67622.0,2237.0,9024.0,34154.0,16213.0,13204.0,2520.0,1748.0,9491.0,858.0,8676.0,13145.0,33136.0,16956.0,31711.0,1029.0,7912.0,9920.0,12764.0,3653.0,4876.0,48077.0,16892.0,61157.0,58987.0,57311.0,767.0,10101.0,759.0,259.0,248000,Extract And Move Method
13406.0,740.0,12134.0,12062.0,13742.0,4713.0,92514.0,2871.0,968.0,19459.0,373.0,2165.0,11471.0,3795.0,3730.0,486.0,302.0,1398.0,218.0,2280.0,2258.0,6159.0,4617.0,5508.0,362.0,2276.0,1631.0,2015.0,629.0,752.0,15616.0,5454.0,15968.0,15906.0,17640.0,233.0,3812.0,158.0,62.0,92514,Extract Attribute
60704.0,3823.0,56090.0,49909.0,44726.0,12258.0,2871.0,157972.0,6160.0,34602.0,5049.0,13816.0,16969.0,13096.0,7451.0,2767.0,1341.0,5474.0,510.0,17846.0,31143.0,111872.0,35647.0,116220.0,2192.0,4138.0,8131.0,10701.0,4988.0,6882.0,48222.0,24802.0,44657.0,55205.0,37210.0,599.0,6991.0,647.0,247.0,157972,Extract Class
26605.0,1566.0,26881.0,23209.0,20896.0,4955.0,968.0,6160.0,61294.0,11684.0,1489.0,6613.0,6389.0,3461.0,2371.0,690.0,297.0,1929.0,147.0,7111.0,4181.0,8794.0,11747.0,10018.0,1091.0,1418.0,5462.0,6377.0,1590.0,2391.0,14325.0,12835.0,18093.0,17956.0,11645.0,169.0,1978.0,167.0,77.0,61294,Extract Interface
151060.0,5329.0,150002.0,150996.0,172380.0,67622.0,19459.0,34602.0,11684.0,959892.0,5681.0,24514.0,121171.0,42472.0,49557.0,6206.0,5220.0,15069.0,1188.0,22767.0,28570.0,59236.0,45093.0,64123.0,3030.0,66159.0,17872.0,24951.0,7339.0,10157.0,134221.0,52059.0,186994.0,183841.0,211683.0,1271.0,37392.0,2490.0,884.0,959892,Extract Method
11493.0,612.0,12057.0,11187.0,9939.0,2237.0,373.0,5049.0,1489.0,5681.0,27264.0,5793.0,2877.0,1911.0,1218.0,308.0,133.0,979.0,83.0,3358.0,3690.0,5684.0,6833.0,6596.0,353.0,706.0,1432.0,2078.0,21275.0,25833.0,6305.0,5322.0,7737.0,9067.0,5441.0,100.0,923.0,118.0,36.0,27264,Extract Subclass
37625.0,2556.0,42569.0,38884.0,33037.0,9024.0,2165.0,13816.0,6613.0,24514.0,5793.0,122209.0,12535.0,7365.0,4914.0,1169.0,608.0,3475.0,460.0,11908.0,11547.0,18472.0,22971.0,24086.0,1399.0,2928.0,49827.0,63683.0,5602.0,8050.0,24451.0,21526.0,36417.0,35815.0,23146.0,721.0,3641.0,297.0,122.0,122209,Extract Superclass
95959.0,3525.0,93678.0,95897.0,107619.0,34154.0,11471.0,16969.0,6389.0,121171.0,2877.0,12535.0,702949.0,28025.0,25746.0,3540.0,2979.0,10914.0,750.0,13754.0,14773.0,33637.0,27058.0,34945.0,2188.0,15047.0,9253.0,12516.0,3957.0,5750.0,81750.0,32291.0,98490.0,103449.0,130374.0,888.0,16388.0,1330.0,662.0,702949,Extract Variable
48407.0,2160.0,48866.0,49440.0,51144.0,16213.0,3795.0,13096.0,3461.0,42472.0,1911.0,7365.0,28025.0,188450.0,13814.0,2447.0,1638.0,11929.0,546.0,9259.0,11409.0,22979.0,15632.0,24858.0,1147.0,6856.0,5656.0,8036.0,2639.0,3742.0,42706.0,18043.0,61333.0,57175.0,60806.0,577.0,10319.0,771.0,320.0,188450,Inline Method
35051.0,1420.0,35633.0,35528.0,43179.0,13204.0,3730.0,7451.0,2371.0,49557.0,1218.0,4914.0,25746.0,13814.0,168334.0,1565.0,1493.0,5076.0,350.0,5813.0,6419.0,13571.0,10133.0,14073.0,767.0,8115.0,3535.0,5015.0,1625.0,2308.0,29725.0,12807.0,37454.0,40742.0,53536.0,295.0,8040.0,556.0,267.0,168334,Inline Variable
8984.0,367.0,11493.0,8110.0,8234.0,2520.0,486.0,2767.0,690.0,6206.0,308.0,1169.0,3540.0,2447.0,1565.0,25336.0,1722.0,1155.0,51.0,1552.0,1699.0,4419.0,2634.0,3771.0,183.0,1248.0,898.0,1174.0,433.0,544.0,7549.0,3116.0,8492.0,11720.0,8122.0,103.0,999.0,220.0,62.0,25336,Merge Parameter
5423.0,175.0,6406.0,5352.0,7206.0,1748.0,302.0,1341.0,297.0,5220.0,133.0,608.0,2979.0,1638.0,1493.0,1722.0,16933.0,716.0,34.0,892.0,966.0,2101.0,1287.0,2087.0,81.0,1186.0,433.0,626.0,192.0,279.0,4427.0,1739.0,5254.0,7053.0,8121.0,39.0,892.0,94.0,67.0,16933,Merge Variable
22094.0,630.0,22544.0,21879.0,20442.0,9491.0,1398.0,5474.0,1929.0,15069.0,979.0,3475.0,10914.0,11929.0,5076.0,1155.0,716.0,65535.0,328.0,3600.0,5878.0,13467.0,6365.0,13223.0,324.0,2503.0,3289.0,4542.0,1877.0,2491.0,19046.0,7111.0,24189.0,23793.0,20606.0,296.0,3540.0,441.0,106.0,65535,Move And Inline Method
1910.0,72.0,1729.0,1468.0,1457.0,858.0,218.0,510.0,147.0,1188.0,83.0,460.0,750.0,546.0,350.0,51.0,34.0,328.0,6063.0,460.0,422.0,1408.0,720.0,1142.0,26.0,128.0,1307.0,1268.0,123.0,173.0,2366.0,857.0,2030.0,2290.0,1612.0,244.0,511.0,13.0,3.0,6063,Move And Rename Attribute
76049.0,18214.0,70868.0,65829.0,63554.0,8676.0,2280.0,17846.0,7111.0,22767.0,3358.0,11908.0,13754.0,9259.0,5813.0,1552.0,892.0,3600.0,460.0,140354.0,10202.0,22318.0,61942.0,25402.0,3930.0,3193.0,6830.0,9219.0,3240.0,4441.0,46373.0,34957.0,47219.0,49158.0,37802.0,452.0,4982.0,587.0,190.0,140354,Move And Rename Class
41012.0,1610.0,47028.0,49111.0,35546.0,13145.0,2258.0,31143.0,4181.0,28570.0,3690.0,11547.0,14773.0,11409.0,6419.0,1699.0,966.0,5878.0,422.0,10202.0,129629.0,47151.0,19898.0,54150.0,856.0,3663.0,7497.0,10443.0,3791.0,5443.0,32960.0,16831.0,41732.0,50909.0,31785.0,422.0,5641.0,493.0,145.0,129629,Move And Rename Method
